Country,Total,Mean,Count
United States,2935.8,16.042622950819673,183
China,806.27,10.47103896103896,77
India,405.35,22.519444444444446,18
France,373.95,24.93,15
Russian Federation,288.59,11.099615384615383,26
Hong Kong,221.7,12.316666666666666,18
Germany,213.29999999999998,10.157142857142857,21
Canada,125.27,8.351333333333333,15
United Kingdom,107.32000000000001,7.154666666666667,15
Mexico,105.96,26.49,4
Switzerland,97.69,8.88090909090909,11
Australia,91.38,11.4225,8
Brazil,76.77,7.677,10
Japan,69.08,13.815999999999999,5
Sweden,52.73,7.532857142857142,7
Italy,51.290000000000006,17.096666666666668,3
Spain,48.790000000000006,24.395000000000003,2
Indonesia,46.55,11.6375,4
Singapore,42.32,8.464,5
Israel,41.06,10.265,4
Taiwan,29.15,5.83,5
Denmark,26.080000000000002,5.216,5
South Africa,23.69,7.896666666666667,3
Thailand,23.299999999999997,11.649999999999999,2
Ireland,22.479999999999997,7.493333333333332,3
Saudi Arabia,21.79,10.895,2
Malaysia,20.96,10.48,2
Nigeria,18.6,18.6,1
Chile,17.6,17.6,1
Czech Republic,17.23,8.615,2
Greece,16.2,16.2,1
Colombia,15.84,7.92,2
Norway,15.440000000000001,5.146666666666667,3
Austria,15.1,15.1,1
Netherlands,12.4,12.4,1
United Arab Emirates,10.34,5.17,2
New Zealand,9.8,9.8,1
Cyprus,7.94,7.94,1
Monaco,7.9,7.9,1
Cayman Islands,6.89,6.89,1
Egypt,6.36,6.36,1
Philippines,6.09,6.09,1
"Korea, Republic of",5.79,5.79,1
Liechtenstein,5.76,5.76,1
Kazakhstan,5.64,5.64,1
Georgia,5.45,5.45,1
Ukraine,4.85,4.85,1
Isle of Man,4.8,4.8,1
Viet Nam,4.68,4.68,1
